Industry Clean,Mapped,count,Industry Ref
Hospital & Health Care,true,1421,Healthcare
Primary & Secondary Education,true,1142,Education
Non-Profit Organization Management,true,1135,Nonprofit
Higher Education,true,994,Higher Education
Technology,,799,Technology
Tech,,789,Tech
Government Administration,true,723,Government
Computer Software,true,716,Software
Information Technology and Services,true,713,IT
Finance,,610,Finance
Manufacturing,true,541,Manufacturing
Legal Services,true,488,Legal
Insurance,true,436,Insurance
Retail,true,406,Retail
Construction,true,394,Construction
Law Practice,true,387,Law
Research,true,382,Academia
Marketing,,315,Marketing
Consulting,,311,Consulting
Banking,true,303,Banking
Financial Services,true,296,Financial Services
Publishing,true,284,Publishing
Media,true,243,Media
Information Technology and Services,true,236,Information Technology
Marketing and Advertising,true,213,Advertising
Hospitality,true,198,Hospitality
Real Estate,true,197,Real Estate
Defense & Space,true,191,Aerospace
Engineering,,190,Engineering
Automotive,true,187,Automotive
Pharmaceutical,,168,Pharmaceutical
Accounting,true,163,Accounting
Higher Ed,,152,Higher Ed
Architecture & Planning,true,149,Architecture
Telecommunications,true,147,Telecommunications
Transportation/Trucking/Railroad,true,136,Transportation
Oil & Energy,true,129,Energy
Entertainment,true,120,Entertainment
Libraries,,119,Libraries
Biotechnology,true,118,Biotech
Medical Devices,true,118,Medical Devices
Medical Practice,true,108,Medical
Defense,,103,Defense
Oil & Energy,true,102,Oil and Gas
Government Administration,true,102,State Government
Library,,91,Library
Ecommerce,,90,Ecommerce
Government Administration,true,88,Federal Government
Airlines/Aviation,true,84,Aviation
Museums and Institutions,true,84,Museums
Government Administration,true,83,Local Government
Hospital & Health Care,true,82,Health Insurance
Computer Software,true,82,Software Development
Medicine,,78,Medicine
Public Relations and Communications,true,76,Communications
Libraries,,76,Public Library
Human Resources,true,73,Human Resources
Journalism,,72,Journalism
Accounting,true,72,Public Accounting
Research,,72,Research
Public Relations and Communications,true,71,Public Relations
Professional Services,,70,Professional Services
Management Consultancy,,66,Management Consulting
Marketing and Advertising,,66,Market Research
Financial Services,true,65,Financial
Semiconductors,,65,Semiconductor
Information Technology and Services,true,64,Healthcare IT
Sales,,64,Sales
Oil & Energy,true,62,Oil & Gas
Biotechnology,true,61,Biotechnology
Logistics,,59,Logistics
Mental Health Care,true,57,Mental Health
Restaurants,,57,Restaurant
Fintech,,56,Fintech
Environmental Services,true,55,Environmental Consulting
Utilities,true,55,Utilities
Social Services,,54,Social Services
Agriculture,,53,Agriculture
Libraries,,52,Public Libraries
Telecom,,52,Telecom
Law Enforcement,true,51,Law Enforcement
Hospital & Health Care,true,50,Public Health
Pharma,,49,Pharma
"Health, Wellness and Fitness",true,47,Health
Marketing and Advertising,,46,Digital Marketing
Civil Engineering,true,43,Civil Engineering
Government Administration,true,43,Government Contracting
Chemicals,true,42,Chemical
Design,true,42,Design
Philanthropy,true,42,Philanthropy
Commercial Real Estate,true,40,Commercial Real Estate
Primary & Secondary Education,true,40,Education Non-profit
Social Work,,39,Social Work
Computer & Network Security,true,36,Cyber Security
Mining & Metals,true,36,Mining
Science,,36,Science
Property Management,,35,Property Management
Publishing,true,34,Book publishing
Consumer Goods,true,34,Consumer Goods
CPG,,34,CPG
Customer Service,,34,Customer Service
Food Production,true,34,Food Manufacturing
"Leisure, Travel & Tourism",true,34,Travel
Computer Games,true,34,Video Games
Fine Art,true,33,Arts
Computer Software,true,33,Software Engineering
Utility,,33,Utility
Primary & Secondary Education,true,32,Public Education
Fund-Raising,true,31,Fundraising
International Affairs,true,31,International Development
Computer & Network Security,true,31,Security
Research,true,30,Academic Libraries
Consumer Goods,true,30,Consumer Packaged Goods
Engineering Consultant,,30,Engineering Consulting
Food & Beverages,true,30,Food
Technology,,30,High Tech
Public Service,,30,Public Service
Apparel & Fashion,true,29,Fashion
Financial Services,true,29,Financial Technology
Information Technology and Services,true,29,IT Consulting
Military,true,29,Military
SaaS,,29,SaaS
Research,,28,Clinical Research
Mortgage,,28,Mortgage
Service,,28,Service
Airlines/Aviation,true,27,Airline
Food & Beverages,true,27,Food Service
Hospital & Health Care,true,27,Healthcare non-profit
Government Administration,true,27,Municipal Government
Consumer Electronics,true,26,Electronics
Food & Beverages,true,26,Food and Beverage
Internet,,26,Internet
Computer Software,true,25,Computer Software
Consumer Electronics,true,25,Consumer Electronics
Distribution,,25,Distribution
Government Administration,true,25,Government Contractor
University,,25,University
Graphic Design,true,24,Graphic Design
Music,true,24,Music
Fund-Raising,true,24,Nonprofit fundraising
Pharmacy,,24,Pharmacy
Staffing and Recruiting,true,24,Recruiting
Grocery,,23,Grocery
Legal Services,true,23,Legal Services
Consumer Goods,,22,Consumer Products
Higher Education,true,22,Higher Education Administration
Computer,,21,Computer
Non-Profit Organization Management,true,21,Environmental non-profit
Human Resources,true,21,Human Services
Primary & Secondary Education,true,21,K-12 Education
Higher Education,true,21,Post-secondary education
Staffing and Recruiting,true,21,Staffing
Veterinary,true,21,Veterinary medicine
HR,,20,HR
Public Safety,true,20,Public Safety
Television,,20,Television
Non-Profit Organization Management,true,19,Non-profit arts
Public sector,,19,Public sector
Wholesale,true,19,Wholesale
Chemicals,true,18,Chemical Manufacturing
Civil Engineering,true,18,Civil Service
Defense Contracting,,18,Defense Contracting
Government Administration,true,18,Government consulting
Industrial Automation,true,18,Industrial
Computer & Network Security,true,18,Information Security
Information Technology and Services,true,18,IT Services
Non-Profit Organization Management,true,18,Nonprofit social services
Non-Profit Organization Management,true,18,Not for profit
"Leisure, Travel & Tourism",true,18,Tourism
Research,true,17,Academic Library
Research,true,17,Academic Research
Media,true,17,Digital Media
Environmental Services,true,17,Environmental
Events Services,true,17,Events
Nursing,,17,Nursing
Supply Chain,,17,Supply Chain
Veterinary,true,17,Veterinary
Beauty,,16,Beauty
Construction,true,16,Construction Management
Primary & Secondary Education,true,16,Education Technology
Government Administration,true,16,Government Relations
Life Sciences,,16,Life Sciences
Association,,15,Association
Association Management,,15,Association Management
Government Administration,true,15,City Government
Dental,,15,Dental
Electrical,,15,Electrical
Higher Education,true,15,Higher Education Fundraising
Publishing,true,14,Academic Publishing
Business Services,,14,Business Services
FMCG,,14,FMCG
Banking,true,14,Investment Banking
Investment Management,true,14,Investment Management
Investment Management,true,14,Investments
Printing,true,14,Printing
Sports,true,14,Sports
Technology Consulting,,14,Technology Consulting
Theatre,,14,Theatre
Web Development,,14,Web Development
Ad Tech,,13,Ad Tech
Defense & Space,true,13,Aerospace and Defense
Biotechnology,true,13,Biomedical Research
HVAC,,13,HVAC
Non-Profit Organization Management,true,13,Nonprofit advocacy
Political Organization,true,13,Politics
Venture Capital & Private Equity,true,13,Private Equity
Oil & Energy,true,13,Renewable Energy
Computer Software,true,13,Software Sales
Administration,,12,Administration
"Health, Wellness and Fitness",true,12,Behavioral Health
Charity,,12,Charity
Church,,12,Church
Fitness,,12,Fitness
Librarianship,,12,Librarianship
Primary & Secondary Education,true,12,Medical Education
Medical Devices,true,12,Medical Technology
PR,,12,PR
Computer Software,true,12,Technology - Software
Venture Capital & Private Equity,true,12,Venture Capital
Wealth Management,,12,Wealth Management
Defense & Space,true,11,Aerospace & Defense
Asset Management,,11,Asset Management
EdTech,,11,EdTech
Gaming,,11,Gaming
Hospitals,,11,Hospital
Medical Devices,true,11,Medical Device Manufacturing
Packaging and Containers,true,11,Packaging
Performing Arts,true,11,Performing Arts
Photography,true,11,Photography
Real Estate,true,11,Real Estate Development
Recruitment,,11,Recruitment
Religious Institutions,true,11,Religion
Steel,,11,Steel
Urban Planning,,11,Urban Planning
Apparel & Fashion,true,10,Apparel
Biotechnology,true,10,Biomedical
Business,,10,Business
Government Administration,true,10,County Government
Digital Advertising,,10,Digital Advertising
Primary & Secondary Education,true,10,Educational Technology
Government Administration,true,10,Government Affairs
Information Technology and Services,true,10,Information services
Computer & Network Security,true,10,IT Security
Marketing & Advertising,,10,Marketing & Advertising
Media,true,10,Media/Journalism
Medical Practice,true,10,Medical Research
Non-Profit Organization Management,true,10,museum (non-profit)
Media,true,10,news media
Newspapers,true,10,Newspapers
Retail,true,10,Retail Grocery
Scientific research,,10,Scientific research
Shipping,,10,Shipping
Computer Software,true,10,Tech (software)
Wholesale,true,10,Wholesale distribution
Fine Art,true,9,Arts Administration
Biotechnology,true,9,Biotech/Pharma
Childcare,,9,Childcare
Defense contractor,,9,Defense contractor
Dentistry,,9,Dentistry
Motion Pictures and Film,true,9,Film
Hospital & Health Care,true,9,Healthcare Consulting
Industrial Automation,true,9,Industrial Automation
Industrial Automation,true,9,Industrial Manufacturing
Nuclear,,9,Nuclear
Production,,9,Production
Non-Profit Organization Management,true,9,Religious nonprofit
Computer Software,true,9,Software Consulting
Tax,,9,Tax
Trade association,,9,Trade association
Transportation/Trucking/Railroad,true,9,Trucking
AEC,,8,AEC
Archives,,8,Archives
Fine Art,true,8,Art museum
Primary & Secondary Education,true,8,Arts Education
Building Materials,true,8,Building materials
Cannabis,,8,Cannabis
Clinical Trials,,8,Clinical Trials
Publishing,true,8,Educational Publishing
Electric Utility,,8,Electric Utility
Consumer Electronics,true,8,Electronics Manufacturing
Construction,true,8,Engineering / Construction
Events Services,true,8,Event Management
Events Services,true,8,Event Planning
Human Resources,true,8,Executive Search
Federal Contracting,,8,Federal Contracting
Motion Pictures and Film,true,8,Film and Television
Information Technology and Services,true,8,Health IT
Hospital & Health Care,true,8,Health Research
Hospital & Health Care,true,8,Health tech
Hospital & Health Care,true,8,Healthcare Software
Hospital & Health Care,true,8,Healthcare Technology
Higher Education,true,8,Higher education (public)
Design,true,8,Interior Design
Material Handling,,8,Material Handling
Performing Arts,true,8,Non-Profit Performing Arts
Non-Profit Organization Management,true,8,Nonprofit association
Non-Profit Organization Management,true,8,Nonprofit Development
Pet care,,8,Pet care
Power Generation,,8,Power Generation
Research,,8,R&D
Research Science,,8,Research Science
Retired,,8,Retired
Primary & Secondary Education,true,8,Secondary Education
Solar,,8,Solar
Startup,,8,Startup
Structural Engineering,,8,Structural Engineering
Textiles,true,8,Textiles
Professional Training & Coaching,true,8,Training
Ad Tech,,7,AdTech
Defense & Space,true,7,Aerospace Engineering
Automotive,true,7,Automotive Manufacturing
Automotive,true,7,Automotive Retail
Biotechnology,true,7,Biopharmaceuticals
Broadcast Media,true,7,Broadcast
Public Relations and Communications,true,7,Communications- Marketing
DoD,,7,DoD
Economic Development,,7,Economic Development
Construction,true,7,Electrical construction
Computer Software,true,7,Enterprise Software
Government Administration,true,7,Federal Government Contractor
Accounting,true,7,Finance/Accounting
Food & Beverages,true,7,Food & Beverage
Computer Games,true,7,Games
Government Administration,true,7,Goverment
Hospital & Health Care,true,7,Healthcare Education
Hospital & Health Care,true,7,Healthcare Finance
Hospital & Health Care,true,7,Healthcare Research
Heavy Equipment,,7,Heavy Equipment
HR Consulting,,7,HR Consulting
Internet,true,7,Internet Technology
Labor Union,,7,Labor Union
Non-Profit Organization Management,true,7,Legal (Non-profit)
Insurance,true,7,Life Insurance
Computer Software,true,7,Medical Software
Environmental Services,true,7,Non profit environmental
Non-Profit Organization Management,true,7,Non-profit law
