proxy,geo_alpha2
http://172.17.100.91:35015,BE
http://172.17.100.91:35021,CN
http://172.17.100.91:35030,NL
http://172.17.100.91:35024,FR
http://172.17.100.91:35011,GB
http://172.17.100.91:35028,JP
http://172.17.100.91:35029,ZA
http://172.17.100.91:35020,BR
http://172.17.100.91:35013,AU
http://172.17.100.91:35031,CA
http://172.17.100.91:35025,KR
http://172.17.100.91:35017,RU
http://172.17.100.91:35018,IE
http://172.17.100.91:35014,ID
http://172.17.100.91:35022,IT
http://172.17.100.91:35019,IN
http://172.17.100.91:35026,DE
http://172.17.100.91:35012,CH
http://172.17.100.91:35023,MX
http://172.17.100.91:35016,HK
http://172.17.100.91:35027,ES
http://172.17.100.91:35010,US
